                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0301,                0.49317,                 1.1286,                0.97953,                0.96088,                0.98225,                0.69216,                  1.147,                0.42296,                 1.1992,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.0419,                0.50194,                 1.1363,                0.98412,                 0.9666,                0.98483,                0.69255,                 1.1372,                0.44981,                 1.1942,              0.0064992,              0.0064992,              0.0064992
                      3,                 1.0674,                0.52869,                 1.1496,                0.98468,                0.95324,                0.97876,                 0.6492,                 1.2431,                0.48091,                 1.2684,              0.0095026,              0.0095026,              0.0095026
                      4,                 1.1174,                0.56894,                 1.1797,                0.98803,                0.94513,                0.98119,                0.68369,                 1.1583,                0.46173,                 1.2189,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.1001,                 0.5552,                 1.1708,                0.98119,                0.96183,                0.98503,                0.68243,                 1.1691,                0.46711,                 1.2086,                0.00901,                0.00901,                0.00901
                      6,                 1.0914,                0.54317,                 1.1599,                0.98507,                0.96183,                0.98383,                0.66787,                 1.2074,                0.46226,                 1.2351,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.0869,                 0.5415,                 1.1598,                0.98427,                0.95538,                0.98076,                0.66711,                 1.2033,                0.45477,                  1.229,               0.008515,               0.008515,               0.008515
                      8,                 1.0831,                0.53385,                 1.1589,                0.98706,                0.95706,                0.97909,                0.66818,                 1.1882,                0.45753,                 1.2124,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.0791,                0.52663,                 1.1528,                0.98622,                0.96565,                0.98409,                0.68749,                 1.1417,                0.43685,                 1.1857,                0.00802,                0.00802,                0.00802
                     10,                 1.0701,                0.52528,                 1.1488,                 0.9891,                 0.9437,                0.98261,                0.68119,                 1.1545,                 0.4499,                 1.2012,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.0691,                0.51881,                 1.1496,                0.98326,                0.95254,                0.97734,                0.66348,                  1.237,                0.45308,                 1.2449,               0.007525,               0.007525,               0.007525
                     12,                 1.0601,                 0.5105,                 1.1442,                0.98722,                0.95825,                0.98421,                0.69613,                 1.1285,                 0.4181,                 1.1892,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.0569,                0.50902,                 1.1428,                0.98083,                 0.9666,                0.99079,                0.69319,                 1.1404,                0.42003,                 1.1866,                0.00703,                0.00703,                0.00703
                     14,                 1.0506,                0.50137,                 1.1404,                0.98956,                0.96374,                0.98182,                0.68552,                 1.1394,                0.42246,                 1.1843,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.0428,                0.49789,                 1.1315,                0.98676,                0.96947,                0.98878,                0.70359,                 1.1157,                0.41835,                 1.1786,               0.006535,               0.006535,               0.006535
                     16,                 1.0393,                0.49433,                 1.1294,                0.98123,                0.96374,                0.98239,                0.69012,                 1.1167,                0.41731,                 1.1716,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.0334,                0.49029,                  1.126,                0.99211,                0.95987,                0.98218,                 0.6987,                 1.1041,                0.40793,                 1.1662,                0.00604,                0.00604,                0.00604
                     18,                 1.0223,                0.47985,                 1.1228,                0.99332,                0.95706,                0.98754,                0.69901,                 1.1143,                0.39336,                 1.1784,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.0241,                  0.477,                 1.1202,                0.98961,                0.96756,                0.98707,                0.70336,                    1.1,                 0.3874,                 1.1662,               0.005545,               0.005545,               0.005545
                     20,                 1.0158,                0.46752,                 1.1168,                0.98438,                0.96216,                 0.9851,                0.70215,                 1.1131,                0.39572,                 1.1696,              0.0052975,              0.0052975,              0.0052975
                     21,                 1.0153,                0.46969,                 1.1195,                0.98419,                0.96469,                0.98546,                0.70942,                 1.1047,                0.39034,                 1.1627,                0.00505,                0.00505,                0.00505
                     22,                  1.008,                0.46305,                 1.1121,                0.99017,                0.96565,                0.98667,                0.70445,                  1.115,                0.39055,                 1.1755,              0.0048025,              0.0048025,              0.0048025
                     23,                 1.0042,                0.46084,                 1.1097,                0.98454,                0.97236,                0.98382,                0.69876,                 1.1122,                0.38938,                 1.1747,               0.004555,               0.004555,               0.004555
                     24,                 1.0004,                0.45883,                 1.1085,                0.99022,                0.96607,                0.98917,                0.70125,                 1.1122,                 0.3833,                 1.1729,              0.0043075,              0.0043075,              0.0043075
                     25,                0.99184,                 0.4524,                 1.1069,                0.98993,                0.96469,                0.98783,                 0.7032,                 1.1067,                0.37654,                  1.167,                0.00406,                0.00406,                0.00406
                     26,                0.99179,                0.44896,                 1.1042,                0.98903,                0.96947,                0.98534,                0.70474,                 1.1073,                0.37719,                 1.1702,              0.0038125,              0.0038125,              0.0038125
                     27,                0.98211,                0.44306,                  1.102,                0.99095,                0.96374,                0.98573,                0.70369,                 1.1077,                0.37761,                 1.1695,               0.003565,               0.003565,               0.003565
                     28,                0.97585,                 0.4361,                  1.099,                0.98448,                0.96816,                0.98646,                0.70575,                  1.107,                0.37686,                 1.1716,              0.0033175,              0.0033175,              0.0033175
                     29,                0.96948,                0.43358,                 1.0921,                0.98715,                0.96469,                0.98536,                0.70501,                 1.1056,                0.37257,                 1.1663,                0.00307,                0.00307,                0.00307
                     30,                0.96027,                0.42465,                 1.0869,                0.98985,                0.96374,                0.98474,                0.70387,                 1.1108,                0.37216,                  1.171,              0.0028225,              0.0028225,              0.0028225
                     31,                 0.9444,                0.36229,                 1.1079,                 0.9883,                0.96716,                0.98559,                0.70497,                 1.1101,                0.37241,                 1.1716,               0.002575,               0.002575,               0.002575
                     32,                0.93347,                0.35647,                 1.0995,                0.98598,                 0.9666,                0.98613,                0.70606,                 1.1112,                0.36995,                 1.1734,              0.0023275,              0.0023275,              0.0023275
                     33,                 0.9251,                0.35315,                 1.1006,                0.98545,                0.96915,                0.98592,                0.70807,                 1.1078,                0.37381,                 1.1704,                0.00208,                0.00208,                0.00208
                     34,                0.91533,                0.34699,                  1.095,                0.98807,                0.96374,                0.98483,                0.70744,                 1.1021,                0.37131,                 1.1696,              0.0018325,              0.0018325,              0.0018325
                     35,                0.90368,                0.34165,                 1.0871,                0.98831,                0.96822,                0.98488,                0.70866,                    1.1,                0.37321,                 1.1682,               0.001585,               0.001585,               0.001585
                     36,                0.89761,                0.33533,                 1.0816,                0.99108,                0.96469,                0.98657,                0.70926,                 1.1003,                0.37421,                 1.1689,              0.0013375,              0.0013375,              0.0013375
                     37,                0.89132,                0.33106,                 1.0817,                0.99441,                0.96469,                0.98702,                 0.7112,                 1.1004,                0.37134,                 1.1686,                0.00109,                0.00109,                0.00109
                     38,                0.88431,                0.32691,                 1.0792,                0.99412,                0.96374,                0.98677,                0.70692,                 1.1034,                0.37234,                 1.1705,              0.0008425,              0.0008425,              0.0008425
                     39,                0.87616,                0.32114,                 1.0702,                0.99379,                0.96374,                0.98657,                0.70708,                 1.1057,                0.37265,                 1.1729,               0.000595,               0.000595,               0.000595
                     40,                0.86923,                0.31826,                 1.0697,                0.99213,                0.96279,                 0.9857,                0.70636,                 1.1078,                 0.3745,                 1.1747,              0.0003475,              0.0003475,              0.0003475
